a	あ
puc	ぴぇん
pux	ぴょん
puq	ぴゃい
put	ぴゅい
pur	ぴゅう
pue	ぴぇい
puw	ぴょう
pu1	ぴゃー
pu5	ぴぃー
pu4	ぴゅー
pu3	ぴぇー
pu2	ぴょー
p;a	ぷぁ
p;g	ぷぃ
p;f	ぷぅ
p;d	ぷぇ
p;s	ぷぉ
p;z	ぷぁん
p;b	ぷぃん
p;v	ぷぅん
p;c	ぷぇん
p;x	ぷぉん
p;q	ぷぁい
p;t	ぷぅい
p;r	ぷぅう
p;e	ぷぇい
p;w	ぷぉう
p;1	ぷぁー
p;5	ぷぃー
p;4	ぷぅー
p;3	ぷぇー
p;2	ぷぉー
ma	ま
mg	み
mf	む
md	め
ms	も
mz	まん
mb	みん
mv	むん
mc	めん
mx	もん
mq	まい
mt	むい
mr	むう
me	めい
mw	もう
m1	まー
m5	みー
m4	むー
m3	めー
m2	もー
m.a	みゃ
m.g	みぃ
m.f	みゅ
m.d	みぇ
m.s	みょ
m.z	みゃん
m.b	みぃん
m.v	みゅん
m.c	みぇん
m.x	みょん
m.q	みゃい
m.t	みゅい
m.r	みゅう
m.e	みぇい
m.w	みょう
m.1	みゃー
m.5	みぃー
m.4	みゅー
m.3	みぇー
m.2	みょー
mja	むぁ
mjg	むぃ
mjf	むぅ
mjd	むぇ
mjs	むぉ
mjz	むぁん
mjb	むぃん
mjv	むぅん
mjc	むぇん
mjx	むぉん
mjq	むぁい
mjt	むぅい
mjr	むぅう
mje	むぇい
mjw	むぉう
mj1	むぁー
mj5	むぃー
mj4	むぅー
mj3	むぇー
mj2	むぉー
ya	や
yg	いぃ
yf	ゆ
yd	いぇ
ys	よ
yz	やん
yb	いぃん
yv	ゆん
yc	いぇん
yx	よん
yq	やい
yt	ゆい
yr	ゆう
ye	いぇい
yw	よう
y1	やー
y5	いぃー
y4	ゆー
y3	いぇー
y2	よー
oa	ら
og	り
of	る
od	れ
os	ろ
oz	らん
ob	りん
ov	るん
oc	れん
ox	ろん
oq	らい
ot	るい
or	るう
oe	れい
ow	ろう
o1	らー
o5	りー
o4	るー
o3	れー
o2	ろー
oua	りゃ
oug	りぃ
ouf	りゅ
oud	りぇ
ous	りょ
ouz	りゃん
oub	りぃん
ouv	りゅん
ouc	りぇん
oux	りょん
ouq	りゃい
out	りゅい
our	りゅう
oue	りぇい
ouw	りょう
ou1	りゃー
ou5	りぃー
ou4	りゅー
ou3	りぇー
ou2	りょー
ola	るぁ
olg	るぃ
olf	るぅ
old	るぇ
ols	るぉ
olz	るぁん
olb	るぃん
olv	るぅん
olc	るぇん
olx	るぉん
olq	るぁい
olt	るぅい
olr	るぅう
ole	るぇい
olw	るぉう
ol1	るぁー
ol5	るぃー
ol4	るぅー
ol3	るぇー
ol2	るぉー
ha	わ
hg	うぃ
hf	ゔ
hd	うぇ
hs	を
hz	わん
hb	うぃん
hv	ゔん
hc	うぇん
hx	をん
hq	わい
ht	ゔい
hr	ゔう
he	うぇい
hw	をう
h1	わー
h5	うぃー
h4	ゔー
h3	うぇー
h2	をー
hna	うぁ
hng	うぃ
hnf	うゅ
hnd	うぇ
hns	うぉ
hnz	うぁん
hnb	うぃん
hnv	うゅん
hnc	うぇん
hnx	うぉん
hnq	うぁい
hnt	うゅい
hnr	うゅう
hne	うぇい
hnw	うぉう
hn1	うぁー
hn5	うぃー
hn4	うゅー
hn3	うぇー
hn2	うぉー
hya	ゔぁ
hyg	ゔぃ
hyf	ゔゅ
hyd	ゔぇ
hys	ゔぉ
hyz	ゔぁん
hyb	ゔぃん
hyv	ゔゅん
hyc	ゔぇん
hyx	ゔぉん
hyq	ゔぁい
hyt	ゔゅい
hyr	ゔゅう
hye	ゔぇい
hyw	ゔぉう
hy1	ゔぁー
hy5	ゔぃー
hy4	ゔゅー
hy3	ゔぇー
hy2	ゔぉー
za	ぁ
zg	ぃ
zf	ぅ
zd	ぇ
zs	ぉ
zia	ゕ
zif	ㇰ
zid	ゖ
z;g	ㇱ
z;f	ㇲ
zkf	っ
zks	ㇳ
zlf	ㇴ
z,a	ㇵ
z,g	ㇶ
z,f	ㇷ
z,d	ㇸ
z,s	ㇹ
zmf	ㇺ
zya	ゃ
zyf	ゅ
zys	ょ
zoa	ㇻ
zog	ㇼ
zof	ㇽ
zod	ㇾ
zos	ㇿ
zha	ゎ
zhg	ゐ
zhd	ゑ
zhq	ヷ
zht	ヸ
zhr	ゔ
zhe	ヹ
zhw	ヺ
zx	゙
zc	゚
zv	゛
zb	゜
zt	ゟ
zw	ヿ
z1	①
z2	②
z3	③
z4	④
z5	⑤
z6	⑥
z7	⑦
z8	⑧
z9	⑨
z0	⑩
zz1	¹
zz2	²
zz3	³
zz4	⁴
zz5	⁵
zz6	⁶
zz7	⁷
zz8	⁸
zz9	⁹
zz0	⁰
c	、
x	。
b	！
v	？
r	ー
t	〜
w	・
[	「
]	」
{	『
}	』
q9	（
q0	）
qq9	｟
qq0	｠
q[	【
q]	】
qq[	〖
qq]	〗
qn	〈
qm	〉
qqn	《
qqm	》
qy	〔
qu	〕
qqy	〘
qqu	〙
q`	‘
q'	’
qq`	“
qq'	”
qi	〝
qo	〟
qqi	«
qqo	»
qw	゠
qqw	·
qs	•
qqs	◦
qx	﹅
qqx	﹆
q-	—
qq-	–
q,	‥
qq,	≦
q.	…
qq.	≧
qe	〃
qqe	仝
qr	々
qqr	〻
qt	ゝ
qqt	ゞ
qg	ヽ
qqg	ヾ
qf	〳
qqf	〴
qv	〵
qqv	〽
q1	●
qq1	○
q2	▼
qq2	▽
q3	▲
qq3	△
q4	■
qq4	□
q5	◆
qq5	◇
q6	★
qq6	☆
q7	◎
qq7	◉
qh	←
qqh	⇔
ql	→
qql	⇒
qj	↓
qqj	⤵
qk	↑
qqk	⤴
qb	✓
qqb	−
q\	¥
qq\	±
q8	※
qq8	×
q/	／
qq/	÷
q=	≒
qq=	≠
qd	〆
qqd	〼
q;	：
qq;	°
qp	′
qqp	″
qa	§
qqa	¶
qz	†
qqz	‡
qc	©
qqc	®
q	　
qq 	␣
